req_consecutive,alpha,reach_resnet,reach_vit,reach_gap_abs,paired_reach,mean_td_resnet_paired,mean_td_vit_paired,td_gap_paired (R-V),cohens_d_paired,n_paired,n_total
3,0.7,0.97,0.504,0.46599999999999997,0.492,0.033101045296167246,0.21840354767184036,-0.1853025023756731,0.8794191707036794,246,500
3,0.71,0.97,0.498,0.472,0.486,0.03233392122281011,0.2237186681631126,-0.19138474694030247,0.9018135362915191,243,500
3,0.72,0.968,0.49,0.478,0.478,0.029886431560071727,0.22099657664511219,-0.19111014508504046,0.9066561436790778,239,500
3,0.73,0.968,0.478,0.49,0.468,0.029304029304029297,0.22610722610722608,-0.1968031968031968,0.927529930078042,234,500
3,0.74,0.968,0.476,0.492,0.466,0.029429797670141013,0.2298088177916504,-0.2003790201215094,0.9409644486076969,233,500
3,0.75,0.968,0.472,0.496,0.462,0.0303030303030303,0.2365210547028729,-0.2062180243998426,0.964862068305519,231,500
3,0.76,0.968,0.468,0.49999999999999994,0.458,0.03119151590767311,0.23580786026200873,-0.20461634435433562,0.9579081283717964,229,500
3,0.77,0.968,0.466,0.502,0.456,0.03070175438596491,0.23644338118022326,-0.20574162679425834,0.9662580131808436,228,500
3,0.78,0.966,0.466,0.49999999999999994,0.456,0.03070175438596491,0.2372408293460925,-0.20653907496012758,0.9696958692170851,228,500
3,0.79,0.964,0.464,0.49999999999999994,0.454,0.03398363750786658,0.23548257909491388,-0.2014989415870473,0.9370797841987698,227,500
3,0.8,0.96,0.462,0.49799999999999994,0.45,0.034920634920634915,0.23838383838383836,-0.20346320346320346,0.9459580280888803,225,500
3,0.81,0.96,0.454,0.506,0.442,0.035552682611506146,0.23611682435211842,-0.20056414174061227,0.933152091385826,221,500
3,0.82,0.96,0.45,0.51,0.438,0.0365296803652968,0.23412204234122047,-0.19759236197592367,0.9186441648442771,219,500
3,0.83,0.96,0.448,0.512,0.436,0.03669724770642202,0.23394495412844038,-0.19724770642201836,0.9150004362610737,218,500
3,0.84,0.96,0.446,0.514,0.434,0.03818301514154048,0.2337662337662338,-0.1955832186246933,0.9039025228108263,217,500
3,0.85,0.958,0.444,0.514,0.432,0.03835978835978836,0.23779461279461278,-0.1994348244348244,0.9121820951867624,216,500
3,0.86,0.956,0.442,0.514,0.428,0.038718291054739645,0.23661852166525063,-0.19790023061051099,0.9094346761521349,214,500
3,0.87,0.954,0.438,0.516,0.424,0.03840970350404312,0.233704974271012,-0.19529527076696887,0.9011754885746565,212,500
3,0.88,0.952,0.43,0.522,0.416,0.03708791208791208,0.2303321678321678,-0.19324425574425574,0.8974196652581979,208,500
3,0.89,0.95,0.43,0.52,0.416,0.037774725274725265,0.2303321678321678,-0.19255744255744256,0.8940039725737121,208,500
3,0.9,0.95,0.424,0.526,0.41,0.037630662020905925,0.22572062084257202,-0.1880899588216661,0.8764397153428684,205,500
3,0.91,0.95,0.42,0.53,0.406,0.037297677691766354,0.23107926556202418,-0.19378158787025784,0.8946582505243376,203,500
3,0.92,0.948,0.414,0.534,0.4,0.03714285714285714,0.23136363636363635,-0.1942207792207792,0.9023802748178296,200,500
3,0.93,0.948,0.412,0.536,0.398,0.03732950466618808,0.2293284604842394,-0.19199895581805132,0.8995666444015884,199,500
3,0.94,0.948,0.41,0.538,0.398,0.03732950466618808,0.23252626770214707,-0.19519676303595898,0.9159271884642394,199,500
3,0.95,0.948,0.406,0.5419999999999999,0.394,0.03625815808556925,0.23119520073834793,-0.19493704265277867,0.921987575257095,197,500
3,0.96,0.948,0.396,0.5519999999999999,0.386,0.03700962250185048,0.22373999057936886,-0.1867303680775184,0.891429942339492,193,500
3,0.97,0.948,0.392,0.5559999999999999,0.382,0.03889304412864623,0.22417896239885765,-0.18528591827021143,0.8813133724287943,191,500
3,0.98,0.948,0.39,0.5579999999999999,0.38,0.03834586466165413,0.22870813397129186,-0.19036226930963773,0.9016083051217822,190,500
3,0.99,0.946,0.388,0.5579999999999999,0.378,0.03854875283446711,0.2299182299182299,-0.19136947708376278,0.9054313340287943,189,500
4,0.7,0.912,0.354,0.558,0.328,0.0156794425087108,0.19124168514412418,-0.17556224263541337,1.0204247731076224,164,500
4,0.71,0.912,0.352,0.56,0.328,0.0156794425087108,0.1951219512195122,-0.1794425087108014,1.0275823751066036,164,500
4,0.72,0.912,0.35,0.562,0.326,0.01489921121822962,0.19743446737311768,-0.18253525615488805,1.0366095358201854,163,500
4,0.73,0.91,0.346,0.5640000000000001,0.32,0.015178571428571427,0.20170454545454547,-0.18652597402597404,1.0450982713621264,160,500
4,0.74,0.91,0.344,0.5660000000000001,0.318,0.015274034141958671,0.20640365923384787,-0.19112962509188922,1.0555313276097205,159,500
4,0.75,0.91,0.342,0.5680000000000001,0.316,0.016274864376130196,0.2088607594936709,-0.1925858951175407,1.0637972351716263,158,500
4,0.76,0.908,0.336,0.5720000000000001,0.308,0.016697588126159554,0.21133412042502947,-0.1946365322988699,1.065362240002531,154,500
4,0.77,0.906,0.328,0.5780000000000001,0.298,0.014381591562799617,0.2117144600366077,-0.1973328684738081,1.0816484170785865,149,500
4,0.78,0.902,0.324,0.5780000000000001,0.294,0.014577259475218655,0.21150278293135438,-0.19692552345613573,1.0833384145342733,147,500
4,0.79,0.898,0.324,0.5740000000000001,0.294,0.014577259475218655,0.21397649969078542,-0.19939924021556676,1.0982275749215695,147,500
4,0.8,0.892,0.32,0.5720000000000001,0.286,0.012987012987012986,0.21869040050858232,-0.20570338752156933,1.1320674335752037,143,500
4,0.81,0.888,0.316,0.5720000000000001,0.28,0.012244897959183671,0.2116883116883117,-0.19944341372912802,1.1188265127209294,140,500
4,0.82,0.886,0.314,0.5720000000000001,0.276,0.011387163561076602,0.21475625823451908,-0.20336909467344247,1.1396140432013968,138,500
4,0.83,0.884,0.314,0.5700000000000001,0.274,0.009384775808133471,0.21632382216323823,-0.20693904635510477,1.1635593207906967,137,500
4,0.84,0.884,0.314,0.5700000000000001,0.274,0.011470281543274242,0.21632382216323823,-0.204853540619964,1.1468007010821246,137,500
4,0.85,0.884,0.312,0.5720000000000001,0.272,0.011554621848739495,0.21657754010695188,-0.2050229182582124,1.1403557576591032,136,500
4,0.86,0.882,0.308,0.5740000000000001,0.266,0.011815252416756176,0.2194121667805878,-0.20759691436383162,1.1482651588548987,133,500
4,0.87,0.882,0.306,0.5760000000000001,0.264,0.011904761904761904,0.21900826446280994,-0.20710350255804805,1.141387323873475,132,500
4,0.88,0.878,0.306,0.5720000000000001,0.264,0.011904761904761904,0.22107438016528927,-0.20916961826052738,1.1394902319848326,132,500
4,0.89,0.876,0.306,0.5700000000000001,0.264,0.012987012987012986,0.22107438016528927,-0.20808736717827628,1.132514065982769,132,500
4,0.9,0.874,0.296,0.5780000000000001,0.254,0.013498312710911136,0.2068718682891911,-0.19337355557827995,1.0891806450580614,127,500
4,0.91,0.872,0.29,0.5820000000000001,0.25,0.013714285714285714,0.2101818181818182,-0.19646753246753249,1.1038748711790582,125,500
4,0.92,0.872,0.288,0.5840000000000001,0.248,0.013824884792626725,0.20894428152492667,-0.19511939673229994,1.102887358864697,124,500
4,0.93,0.872,0.286,0.5860000000000001,0.246,0.013937282229965157,0.21507760532150771,-0.20114032309154256,1.1259296825461378,123,500
4,0.94,0.87,0.282,0.5880000000000001,0.242,0.014167650531286892,0.21863260706235912,-0.20446495653107224,1.1420665490579527,121,500
4,0.95,0.868,0.282,0.5860000000000001,0.242,0.014167650531286892,0.2193839218632607,-0.20521627133197382,1.146151181334737,121,500
4,0.96,0.868,0.278,0.59,0.238,0.014405762304921969,0.21390374331550802,-0.19949798101058605,1.1257686284609607,119,500
4,0.97,0.866,0.278,0.588,0.238,0.015606242496998797,0.21390374331550802,-0.19829750081850922,1.117779287496334,119,500
4,0.98,0.866,0.278,0.588,0.238,0.015606242496998797,0.21848739495798317,-0.20288115246098437,1.138898299285588,119,500
4,0.99,0.862,0.274,0.588,0.234,0.015873015873015872,0.21911421911421908,-0.2032412032412032,1.1364833595744603,117,500
5,0.7,0.704,0.276,0.42799999999999994,0.196,0.011661807580174927,0.1576994434137291,-0.14603763583355417,0.9444572437774504,98,500
5,0.71,0.7,0.274,0.42599999999999993,0.194,0.011782032400589101,0.15932521087160262,-0.1475431784710135,0.9518583296297203,97,500
5,0.72,0.698,0.272,0.42599999999999993,0.192,0.011904761904761904,0.16098484848484848,-0.1490800865800866,0.9594367479014745,96,500
5,0.73,0.698,0.27,0.42799999999999994,0.19,0.012030075187969924,0.15789473684210525,-0.14586466165413534,0.9427960297469592,95,500
