alpha,reach_resnet,reach_vit,common_reach,reach_gap,mean_td_resnet,mean_td_vit,td_gap,cohens_d,n_td_resnet,n_td_vit
0.5,0.988,0.636,0.636,0.352,0.024002313475997683,0.20611778158947971,-0.18211546811348203,0.9977482871173383,494,318
0.51,0.988,0.628,0.628,0.36,0.024002313475997683,0.20758540822235091,-0.18358309474635323,1.0089583408849152,494,314
0.52,0.988,0.616,0.616,0.372,0.024580682475419318,0.20602125147579692,-0.1814405690003776,1.0021000515341132,494,308
0.53,0.988,0.612,0.612,0.376,0.02544823597455176,0.2043969102792632,-0.17894867430471145,0.9945395733277167,494,306
0.54,0.986,0.606,0.606,0.38,0.0257896261953057,0.2106210621062106,-0.1848314359109049,1.0089689172991085,493,303
0.55,0.984,0.6,0.6,0.384,0.02584204413472706,0.20787878787878786,-0.18203674374406079,0.9987189072602314,492,300
0.56,0.984,0.594,0.594,0.39,0.02584204413472706,0.2133455769819406,-0.18750353284721352,1.0137624870615471,492,297
0.57,0.982,0.59,0.59,0.392,0.026185627000290944,0.21448382126348228,-0.18829819426319133,1.0117592518561946,491,295
0.58,0.978,0.574,0.574,0.404,0.027169149868536368,0.21476084890719035,-0.187591699038654,1.0028396490335072,489,287
0.59,0.976,0.564,0.564,0.41200000000000003,0.027224824355971896,0.21179883945841396,-0.18457401510244206,0.993245809081603,488,282
0.6,0.976,0.558,0.558,0.4179999999999999,0.028103044496487116,0.2130987292277615,-0.18499568473127437,0.9991708675028244,488,279
0.61,0.974,0.554,0.554,0.41999999999999993,0.028747433264887063,0.21496553987528716,-0.18621810661040009,1.0021184886517664,487,277
0.62,0.974,0.548,0.548,0.42599999999999993,0.029627456732179522,0.22295952222959523,-0.19333206549741572,1.0323654696531255,487,274
0.63,0.97,0.546,0.546,0.42399999999999993,0.028571428571428574,0.22144522144522144,-0.19287379287379286,1.0337861178197478,485,273
0.64,0.97,0.542,0.542,0.42799999999999994,0.0288659793814433,0.22039584032203957,-0.19152986094059626,1.0273965278603787,485,271
0.65,0.97,0.528,0.528,0.44199999999999995,0.029160530191458027,0.21453168044077137,-0.18537115024931333,1.0076779434896908,485,264
0.66,0.97,0.526,0.526,0.44399999999999995,0.029160530191458027,0.21638437608019356,-0.18722384588873553,1.0185401640591758,485,263
0.67,0.97,0.52,0.52,0.44999999999999996,0.029455081001472753,0.21853146853146851,-0.18907638752999575,1.0240306531557888,485,260
0.68,0.97,0.512,0.512,0.45799999999999996,0.030044182621502206,0.21768465909090912,-0.1876404764694069,1.0242006854696248,485,256
0.69,0.97,0.512,0.512,0.45799999999999996,0.030633284241531666,0.21768465909090912,-0.18705137484937745,1.0205022914276811,485,256
0.7,0.97,0.504,0.504,0.46599999999999997,0.03181148748159057,0.21608946608946608,-0.1842779786078755,1.0127202407299312,485,252
0.71,0.97,0.498,0.498,0.472,0.03181148748159057,0.2212486308871851,-0.18943714340559453,1.0364904666001968,485,249
0.72,0.968,0.49,0.49,0.478,0.031582054309327035,0.21855287569573284,-0.1869708213864058,1.0235966203713356,484,245
