alpha,reach_resnet,reach_vit,paired_reach,mean_td_resnet_paired,mean_td_vit_paired,td_gap_paired (R-V),cohens_d_paired,n_paired,n_total
0.5,0.988,0.636,0.626,0.024189867640346873,0.20679639848968925,-0.1826065308493424,0.9014083963329861,313,500
0.51,0.988,0.628,0.618,0.024503005085529352,0.20829655781112094,-0.18379355272559159,0.9068449818594372,309,500
0.52,0.988,0.616,0.606,0.02498821310702499,0.20672067206720673,-0.18173245896018175,0.8973218759737243,303,500
0.53,0.988,0.612,0.602,0.025628856193640245,0.20507399577167018,-0.17944513957802993,0.8913827258481716,301,500
0.54,0.986,0.606,0.594,0.026455026455026457,0.21212121212121213,-0.18566618566618567,0.9021296075955534,297,500
0.55,0.984,0.6,0.59,0.024213075060532687,0.2098613251155624,-0.18564825005502972,0.9145834669735052,295,500
0.56,0.984,0.594,0.584,0.023972602739726026,0.21544209215442095,-0.19146948941469494,0.9259990082452593,292,500
0.57,0.982,0.59,0.58,0.02413793103448276,0.21661442006269593,-0.19247648902821318,0.9236365893168841,290,500
0.58,0.978,0.574,0.564,0.025835866261398176,0.21598968407479044,-0.19015381781339227,0.9050476659320487,282,500
0.59,0.976,0.564,0.554,0.027333677153171733,0.21299638989169675,-0.18566271273852503,0.8846794559338338,277,500
0.6,0.976,0.558,0.55,0.02909090909090909,0.21355371900826448,-0.1844628099173554,0.8803778431101996,275,500
0.61,0.974,0.554,0.544,0.028886554621848734,0.21624331550802137,-0.18735676088617265,0.8915053479901034,272,500
0.62,0.974,0.548,0.538,0.03027084439723845,0.22440013518080434,-0.1941292907835659,0.9131818400687063,269,500
0.63,0.97,0.546,0.534,0.029427501337613692,0.2236976506639428,-0.1942701493263291,0.915861577768878,267,500
0.64,0.97,0.542,0.53,0.029649595687331533,0.22264150943396227,-0.19299191374663074,0.9087626784379569,265,500
0.65,0.97,0.528,0.516,0.029346622369878183,0.21670190274841436,-0.1873552803785362,0.8885451887748096,258,500
0.66,0.97,0.526,0.514,0.029460811561978877,0.2186062964273081,-0.18914548486532923,0.8967818358498179,257,500
0.67,0.97,0.52,0.508,0.030371203599550055,0.2208303507516106,-0.19045914715206053,0.8953740296945049,254,500
0.68,0.97,0.512,0.5,0.030857142857142854,0.22,-0.18914285714285714,0.8937836082873067,250,500
0.69,0.97,0.512,0.5,0.031999999999999994,0.22,-0.188,0.8879282050216816,250,500
0.7,0.97,0.504,0.492,0.033101045296167246,0.21840354767184036,-0.1853025023756731,0.8794191707036794,246,500
0.71,0.97,0.498,0.486,0.03233392122281011,0.2237186681631126,-0.19138474694030247,0.9018135362915191,243,500
0.72,0.968,0.49,0.478,0.029886431560071727,0.22099657664511219,-0.19111014508504046,0.9066561436790778,239,500
0.73,0.968,0.478,0.468,0.029304029304029297,0.22610722610722608,-0.1968031968031968,0.927529930078042,234,500
